	
Models          
Example     RTSP        URL     Audio       
Axis        Unknown	    http://IPADDRESS/axis-cgi/mjpg/video.cgi	Yes
Axis        Unknown	    rtsp://IPADDRESS/mpeg4/media.amp	Possible
Axis        Unknown	    rtsp://IPADDRESS/axis-media/media.amp	Possible
Axis        1	        rtsp://IPADDRESS//onvif-media/media.amp	Yes
Axis        1_Generic	http://IPADDRESS/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]*[HEIGHT]	Yes
Axis        1_Generic	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        1_Generic	http://IPADDRESS/axis-cgi/mjpg/video.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        1_Generic	http://IPADDRESS/nphMotionJpeg?Resolution=640×480&Quality=Standard	No
Axis        1_Generic	http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        1_Generic	rtsp://IPADDRESS/axis-media/media.amp?videocodec=h264&resolution=640×480	Possible
Axis        1_GENERIC	http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        1_GENERIC	http://IPADDRESS/jpg/image.jpg	No
Axis        1_GENERIC	http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        1_GENERIC	rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        1034	    rtsp://IPADDRESS//onvif-media/media.amp	Yes
Axis        1054	    http://IPADDRESS/mjpg/video.mjpg	No
Axis        1056	    http://IPADDRESS/mjpg/video.mjpg	No
Axis        1114    	rtsp://IPADDRESS//onvif-media/media.amp	Yes
Axis        1144    	rtsp://IPADDRESS//onvif-media/media.amp	Yes
Axis        1144	    rtsp://IPADDRESS//onvif-media/media.amp	Yes
Axis        1311	    http://IPADDRESS/jpg/image.jpg	No
Axis        1346    	http://IPADDRESS/mjpg/video.mjpg	No
Axis        1347    	http://IPADDRESS/mjpg/video.mjpg	No
Axis        154     	http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        1755	    http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        200+	    http://IPADDRESS/hugesize.jpg?camera=[CHANNEL]	No
Axis        200+	    http://IPADDRESS/fullsize.jpg?camera=1	No
Axis        203	        http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        205         http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        205         http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        205         http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]	No
Axis        205         http://IPADDRESS/jpg/image.jpg	No
Axis        205         http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        205         http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        205         http://IPADDRESS/axis-cgi/mjpg/video.cgi?camera=[CHANNEL]	No
Axis        205         http://IPADDRESS/mjpg/video.mjpg	No
Axis        205         http://IPADDRESS/mjpg/video.mjpg	No
Axis        205         http://IPADDRESS//axis-cgi/mjpg/video.cgi	Yes
Axis        205     	rtsp://IPADDRESS:554/axis-media/media.amp	Yes
Axis        205	        rtsp://IPADDRESS:554/mpeg4/media.amp	Yes
Axis        206         http://http://IPADDRESS/axis-cgi/jpg/image.cgi?camera=1&resolution=320×240&compression=25	No
Axis        206         http://http://IPADDRESS/jpg/image.jpg?size=3	No
Axis        206         http://http://IPADDRESS/axis-cgi/jpg/image.cgi?date=1&clock=1&resolution=[WIDTH]x[HEIGHT]	No
Axis        206         http://http://IPADDRESS/jpg/image.jpg	No
Axis        206         http://http://IPADDRESS/axis-cgi/mjpg/video.cgi	No
Axis        206         http://http://IPADDRESS/mjpg/video.mjpg	No
